Longitude,Latitude
709629.0253092402,-8120902.283753125
709629.0253092402,-8129085.708289336
709629.0253092402,-8137269.132825546
709629.0253092402,-8145452.557361757
709629.0253092402,-8153635.981897969
709629.0253092402,-8161819.40643418
709629.0253092402,-8170002.830970392
709629.0253092402,-8178186.255506601
709629.0253092402,-8186369.680042813
709629.0253092402,-8194553.104579024
709629.0253092402,-8202736.529115235
709629.0253092402,-8210919.953651447
709629.0253092402,-8219103.378187656
709629.0253092402,-8227286.802723868
709629.0253092402,-8235470.227260079
709629.0253092402,-8243653.651796291
709629.0253092402,-8251837.076332502
709629.0253092402,-8260020.500868712
709629.0253092402,-8268203.925404923
709629.0253092402,-8276387.349941134
709629.0253092402,-8284570.774477346
709629.0253092402,-8292754.199013557
709629.0253092402,-8300937.623549767
709629.0253092402,-8309121.048085978
709629.0253092402,-8317304.47262219
709629.0253092402,-8325487.897158401
709629.0253092402,-8333671.321694611
709629.0253092402,-8341854.746230822
709629.0253092402,-8350038.1707670335
709629.0253092402,-8358221.595303245
709629.0253092402,-8366405.019839456
709629.0253092402,-8374588.444375666
709629.0253092402,-8382771.868911877
709629.0253092402,-8390955.293448089
709629.0253092402,-8399138.7179843
709629.0253092402,-8407322.142520512
709629.0253092402,-8415505.567056721
709629.0253092402,-8423688.991592932
709629.0253092402,-8431872.416129144
709629.0253092402,-8440055.840665355
709629.0253092402,-8448239.265201567
709629.0253092402,-8456422.689737776
709629.0253092402,-8464606.114273988
709629.0253092402,-8472789.5388102
709629.0253092402,-8480972.96334641
709629.0253092402,-8489156.387882622
709629.0253092402,-8497339.812418832
709629.0253092402,-8505523.236955043
709629.0253092402,-8513706.661491254
709629.0253092402,-8521890.086027466
709629.0253092402,-8530073.510563677
709629.0253092402,-8538256.935099887
709629.0253092402,-8546440.359636098
709629.0253092402,-8554623.78417231
709629.0253092402,-8562807.208708521
709629.0253092402,-8570990.63324473
709629.0253092402,-8579174.057780942
709629.0253092402,-8587357.482317153
709629.0253092402,-8595540.906853365
709629.0253092402,-8603724.331389576
709629.0253092402,-8611907.755925786
709629.0253092402,-8620091.180461997
709629.0253092402,-8628274.604998209
709629.0253092402,-8636458.02953442
709629.0253092402,-8644641.454070631
709629.0253092402,-8652824.878606841
709629.0253092402,-8661008.303143052
709629.0253092402,-8669191.727679264
709629.0253092402,-8677375.152215475
709629.0253092402,-8685558.576751687
709629.0253092402,-8693742.001287896
709629.0253092402,-8701925.425824108
709629.0253092402,-8710108.850360319
709629.0253092402,-8718292.27489653
709629.0253092402,-8726475.699432742
709629.0253092402,-8734659.123968951
709629.0253092402,-8742842.548505163
709629.0253092402,-8751025.973041374
709629.0253092402,-8759209.397577586
709629.0253092402,-8767392.822113795
709629.0253092402,-8775576.246650007
709629.0253092402,-8783759.671186218
709629.0253092402,-8791943.09572243
709629.0253092402,-8800126.52025864
709629.0253092402,-8808309.94479485
709629.0253092402,-8816493.369331062
709629.0253092402,-8824676.793867273
709629.0253092402,-8832860.218403485
709629.0253092402,-8841043.642939696
709629.0253092402,-8849227.067475906
709629.0253092402,-8857410.492012117
709629.0253092402,-8865593.916548328
709629.0253092402,-8873777.34108454
709629.0253092402,-8881960.765620751
709629.0253092402,-8890144.19015696
709629.0253092402,-8898327.614693172
709629.0253092402,-8906511.039229384
709629.0253092402,-8914694.463765595
709629.0253092402,-8922877.888301807
709629.0253092402,-8931061.312838016
709629.0253092402,-8939244.737374227
709629.0253092402,-8947428.161910439
709629.0253092402,-8955611.58644665
709629.0253092402,-8963795.010982862
709629.0253092402,-8971978.435519071
709629.0253092402,-8980161.860055283
709629.0253092402,-8988345.284591494
709629.0253092402,-8996528.709127706
709629.0253092402,-9004712.133663915
709629.0253092402,-9012895.558200127
709629.0253092402,-9021078.982736338
709629.0253092402,-9029262.40727255
709629.0253092402,-9037445.83180876
709629.0253092402,-9045629.25634497
709629.0253092402,-9053812.680881182
709629.0253092402,-9061996.105417393
709629.0253092402,-9070179.529953605
709629.0253092402,-9078362.954489816
709629.0253092402,-9086546.379026026
709629.0253092402,-9094729.803562237
709629.0253092402,-9102913.228098448
709629.0253092402,-9111096.65263466
709629.0253092402,-9119280.077170871
709629.0253092402,-9127463.50170708
709629.0253092402,-9135646.926243292
709629.0253092402,-9143830.350779504
709629.0253092402,-9152013.775315715
709629.0253092402,-9160197.199851926
709629.0253092402,-9168380.624388136
709629.0253092402,-9176564.048924347
709629.0253092402,-9184747.473460559
709629.0253092402,-9192930.89799677
709629.0253092402,-9201114.32253298
709629.0253092402,-9209297.747069191
709629.0253092402,-9217481.171605403
709629.0253092402,-9225664.596141614
709629.0253092402,-9233848.020677825
717812.4498454513,-5477656.158556962
717812.4498454513,-5485839.583093173
717812.4498454513,-5494023.007629384
717812.4498454513,-5502206.432165596
717812.4498454513,-5510389.856701806
717812.4498454513,-5518573.281238018
717812.4498454513,-5526756.705774228
717812.4498454513,-5534940.1303104395
717812.4498454513,-5543123.55484665
717812.4498454513,-5551306.979382861
717812.4498454513,-5559490.403919073
717812.4498454513,-5567673.828455283
717812.4498454513,-5575857.252991495
717812.4498454513,-5584040.677527705
717812.4498454513,-5592224.102063917
717812.4498454513,-5600407.526600128
717812.4498454513,-5608590.9511363385
717812.4498454513,-5616774.37567255
717812.4498454513,-5624957.80020876
717812.4498454513,-5633141.224744972
717812.4498454513,-5641324.649281183
717812.4498454513,-5649508.073817394
717812.4498454513,-5657691.498353605
717812.4498454513,-5665874.922889816
717812.4498454513,-5674058.347426027
717812.4498454513,-5682241.771962238
717812.4498454513,-5690425.196498449
717812.4498454513,-5698608.62103466
717812.4498454513,-5706792.045570871
717812.4498454513,-5714975.470107082
717812.4498454513,-5723158.894643293
717812.4498454513,-5731342.319179504
717812.4498454513,-5739525.743715716
717812.4498454513,-5747709.168251926
717812.4498454513,-5755892.5927881375
717812.4498454513,-5764076.017324348
717812.4498454513,-5772259.441860559
717812.4498454513,-5780442.86639677
717812.4498454513,-5788626.290932981
717812.4498454513,-5796809.715469193
717812.4498454513,-5804993.140005403
717812.4498454513,-5813176.564541615
717812.4498454513,-5821359.989077825
717812.4498454513,-5829543.4136140365
717812.4498454513,-5837726.838150248
717812.4498454513,-5845910.262686458
717812.4498454513,-5854093.68722267
717812.4498454513,-5862277.11175888
717812.4498454513,-5870460.536295092
717812.4498454513,-5878643.960831302
717812.4498454513,-5886827.385367514
717812.4498454513,-5895010.809903725
717812.4498454513,-5903194.234439936
717812.4498454513,-5911377.658976147
717812.4498454513,-5919561.083512357
717812.4498454513,-5927744.508048569
717812.4498454513,-5935927.93258478
717812.4498454513,-5944111.357120991
717812.4498454513,-5952294.781657202
717812.4498454513,-5960478.206193413
717812.4498454513,-5968661.630729624
717812.4498454513,-5976845.055265835
717812.4498454513,-5985028.479802046
717812.4498454513,-5993211.904338257
717812.4498454513,-6001395.328874468
717812.4498454513,-6009578.753410679
717812.4498454513,-6017762.17794689
717812.4498454513,-6025945.602483101
717812.4498454513,-6034129.027019313
717812.4498454513,-6042312.451555523
717812.4498454513,-6050495.8760917345
717812.4498454513,-6058679.300627945
717812.4498454513,-6066862.725164156
717812.4498454513,-6075046.149700368
717812.4498454513,-6083229.574236578
717812.4498454513,-6091412.99877279
717812.4498454513,-6099596.423309
717812.4498454513,-6107779.847845212
717812.4498454513,-6115963.272381422
717812.4498454513,-6124146.6969176335
717812.4498454513,-6132330.121453845
717812.4498454513,-6140513.545990055
717812.4498454513,-6148696.970526267
717812.4498454513,-6156880.395062477
717812.4498454513,-6165063.819598689
717812.4498454513,-6173247.2441349
717812.4498454513,-6181430.668671111
717812.4498454513,-6189614.093207322
717812.4498454513,-6197797.517743533
717812.4498454513,-6205980.942279744
717812.4498454513,-6214164.366815954
717812.4498454513,-6222347.791352166
717812.4498454513,-6230531.215888377
717812.4498454513,-6238714.640424588
717812.4498454513,-6246898.064960799
717812.4498454513,-6255081.48949701
717812.4498454513,-6263264.914033221
717812.4498454513,-6271448.3385694325
717812.4498454513,-6279631.763105643
717812.4498454513,-6287815.187641854
717812.4498454513,-6295998.612178065
717812.4498454513,-6304182.036714276
717812.4498454513,-6312365.461250487
717812.4498454513,-6320548.885786698
717812.4498454513,-6328732.31032291
717812.4498454513,-6336915.73485912
717812.4498454513,-6345099.1593953315
717812.4498454513,-6353282.583931542
717812.4498454513,-6361466.008467753
717812.4498454513,-6369649.433003965
717812.4498454513,-6377832.857540175
717812.4498454513,-6386016.282076387
717812.4498454513,-6394199.706612597
